trip_id,stop_id,stop_sequence,arrival_time,departure_time
t#rA#weekday_peak_1#07:00:00#1#23,stp#shp1#1,0,08:55:00,08:55:00
t#rA#weekday_peak_1#07:00:00#1#23,stp#shp1#0,1,09:07:17,09:07:17
t#rA#weekday_peak_2#15:00:00#1#0,stp#shp1#1,0,15:00:00,15:00:00
t#rA#weekday_peak_2#15:00:00#1#0,stp#shp1#0,1,15:12:17,15:12:17
t#rA#weekday_peak_2#15:00:00#1#1,stp#shp1#1,0,15:05:00,15:05:00
t#rA#weekday_peak_2#15:00:00#1#1,stp#shp1#0,1,15:17:17,15:17:17
t#rA#weekday_peak_2#15:00:00#1#2,stp#shp1#1,0,15:10:00,15:10:00
t#rA#weekday_peak_2#15:00:00#1#2,stp#shp1#0,1,15:22:17,15:22:17
t#rA#weekday_peak_2#15:00:00#1#3,stp#shp1#1,0,15:15:00,15:15:00
t#rA#weekday_peak_2#15:00:00#1#3,stp#shp1#0,1,15:27:17,15:27:17
t#rA#weekday_peak_2#15:00:00#1#4,stp#shp1#1,0,15:20:00,15:20:00
t#rA#weekday_peak_2#15:00:00#1#4,stp#shp1#0,1,15:32:17,15:32:17
t#rA#weekday_peak_2#15:00:00#1#5,stp#shp1#1,0,15:25:00,15:25:00
t#rA#weekday_peak_2#15:00:00#1#5,stp#shp1#0,1,15:37:17,15:37:17
t#rA#weekday_peak_2#15:00:00#1#6,stp#shp1#1,0,15:30:00,15:30:00
t#rA#weekday_peak_2#15:00:00#1#6,stp#shp1#0,1,15:42:17,15:42:17
t#rA#weekday_peak_2#15:00:00#1#7,stp#shp1#1,0,15:35:00,15:35:00
t#rA#weekday_peak_2#15:00:00#1#7,stp#shp1#0,1,15:47:17,15:47:17
t#rA#weekday_peak_2#15:00:00#1#8,stp#shp1#1,0,15:40:00,15:40:00
t#rA#weekday_peak_2#15:00:00#1#8,stp#shp1#0,1,15:52:17,15:52:17
t#rA#weekday_peak_2#15:00:00#1#9,stp#shp1#1,0,15:45:00,15:45:00
t#rA#weekday_peak_2#15:00:00#1#9,stp#shp1#0,1,15:57:17,15:57:17
t#rA#weekday_peak_2#15:00:00#1#10,stp#shp1#1,0,15:50:00,15:50:00
t#rA#weekday_peak_2#15:00:00#1#10,stp#shp1#0,1,16:02:17,16:02:17
t#rA#weekday_peak_2#15:00:00#1#11,stp#shp1#1,0,15:55:00,15:55:00
t#rA#weekday_peak_2#15:00:00#1#11,stp#shp1#0,1,16:07:17,16:07:17
t#rA#weekday_peak_2#15:00:00#1#12,stp#shp1#1,0,16:00:00,16:00:00
t#rA#weekday_peak_2#15:00:00#1#12,stp#shp1#0,1,16:12:17,16:12:17
t#rA#weekday_peak_2#15:00:00#1#13,stp#shp1#1,0,16:05:00,16:05:00
t#rA#weekday_peak_2#15:00:00#1#13,stp#shp1#0,1,16:17:17,16:17:17
t#rA#weekday_peak_2#15:00:00#1#14,stp#shp1#1,0,16:10:00,16:10:00
t#rA#weekday_peak_2#15:00:00#1#14,stp#shp1#0,1,16:22:17,16:22:17
t#rA#weekday_peak_2#15:00:00#1#15,stp#shp1#1,0,16:15:00,16:15:00
t#rA#weekday_peak_2#15:00:00#1#15,stp#shp1#0,1,16:27:17,16:27:17
t#rA#weekday_peak_2#15:00:00#1#16,stp#shp1#1,0,16:20:00,16:20:00
t#rA#weekday_peak_2#15:00:00#1#16,stp#shp1#0,1,16:32:17,16:32:17
t#rA#weekday_peak_2#15:00:00#1#17,stp#shp1#1,0,16:25:00,16:25:00
t#rA#weekday_peak_2#15:00:00#1#17,stp#shp1#0,1,16:37:17,16:37:17
t#rA#weekday_peak_2#15:00:00#1#18,stp#shp1#1,0,16:30:00,16:30:00
t#rA#weekday_peak_2#15:00:00#1#18,stp#shp1#0,1,16:42:17,16:42:17
t#rA#weekday_peak_2#15:00:00#1#19,stp#shp1#1,0,16:35:00,16:35:00
t#rA#weekday_peak_2#15:00:00#1#19,stp#shp1#0,1,16:47:17,16:47:17
t#rA#weekday_peak_2#15:00:00#1#20,stp#shp1#1,0,16:40:00,16:40:00
t#rA#weekday_peak_2#15:00:00#1#20,stp#shp1#0,1,16:52:17,16:52:17
t#rA#weekday_peak_2#15:00:00#1#21,stp#shp1#1,0,16:45:00,16:45:00
t#rA#weekday_peak_2#15:00:00#1#21,stp#shp1#0,1,16:57:17,16:57:17
t#rA#weekday_peak_2#15:00:00#1#22,stp#shp1#1,0,16:50:00,16:50:00
t#rA#weekday_peak_2#15:00:00#1#22,stp#shp1#0,1,17:02:17,17:02:17
t#rA#weekday_peak_2#15:00:00#1#23,stp#shp1#1,0,16:55:00,16:55:00
t#rA#weekday_peak_2#15:00:00#1#23,stp#shp1#0,1,17:07:17,17:07:17
t#rA#weekday_offpeak#09:00:00#0#0,stp#shp1#0,0,09:00:00,09:00:00
t#rA#weekday_offpeak#09:00:00#0#0,stp#shp1#1,1,09:12:17,09:12:17
t#rA#weekday_offpeak#09:00:00#0#1,stp#shp1#0,0,09:15:00,09:15:00
t#rA#weekday_offpeak#09:00:00#0#1,stp#shp1#1,1,09:27:17,09:27:17
t#rA#weekday_offpeak#09:00:00#0#2,stp#shp1#0,0,09:30:00,09:30:00
t#rA#weekday_offpeak#09:00:00#0#2,stp#shp1#1,1,09:42:17,09:42:17
t#rA#weekday_offpeak#09:00:00#0#3,stp#shp1#0,0,09:45:00,09:45:00
t#rA#weekday_offpeak#09:00:00#0#3,stp#shp1#1,1,09:57:17,09:57:17
t#rA#weekday_offpeak#09:00:00#0#4,stp#shp1#0,0,10:00:00,10:00:00
t#rA#weekday_offpeak#09:00:00#0#4,stp#shp1#1,1,10:12:17,10:12:17
t#rA#weekday_offpeak#09:00:00#0#5,stp#shp1#0,0,10:15:00,10:15:00
t#rA#weekday_offpeak#09:00:00#0#5,stp#shp1#1,1,10:27:17,10:27:17
t#rA#weekday_offpeak#09:00:00#0#6,stp#shp1#0,0,10:30:00,10:30:00
t#rA#weekday_offpeak#09:00:00#0#6,stp#shp1#1,1,10:42:17,10:42:17
t#rA#weekday_offpeak#09:00:00#0#7,stp#shp1#0,0,10:45:00,10:45:00
t#rA#weekday_offpeak#09:00:00#0#7,stp#shp1#1,1,10:57:17,10:57:17
t#rA#weekday_offpeak#09:00:00#0#8,stp#shp1#0,0,11:00:00,11:00:00
t#rA#weekday_offpeak#09:00:00#0#8,stp#shp1#1,1,11:12:17,11:12:17
t#rA#weekday_offpeak#09:00:00#0#9,stp#shp1#0,0,11:15:00,11:15:00
t#rA#weekday_offpeak#09:00:00#0#9,stp#shp1#1,1,11:27:17,11:27:17
t#rA#weekday_offpeak#09:00:00#0#10,stp#shp1#0,0,11:30:00,11:30:00
t#rA#weekday_offpeak#09:00:00#0#10,stp#shp1#1,1,11:42:17,11:42:17
t#rA#weekday_offpeak#09:00:00#0#11,stp#shp1#0,0,11:45:00,11:45:00
t#rA#weekday_offpeak#09:00:00#0#11,stp#shp1#1,1,11:57:17,11:57:17
t#rA#weekday_offpeak#09:00:00#0#12,stp#shp1#0,0,12:00:00,12:00:00
t#rA#weekday_offpeak#09:00:00#0#12,stp#shp1#1,1,12:12:17,12:12:17
t#rA#weekday_offpeak#09:00:00#0#13,stp#shp1#0,0,12:15:00,12:15:00
t#rA#weekday_offpeak#09:00:00#0#13,stp#shp1#1,1,12:27:17,12:27:17
t#rA#weekday_offpeak#09:00:00#0#14,stp#shp1#0,0,12:30:00,12:30:00
t#rA#weekday_offpeak#09:00:00#0#14,stp#shp1#1,1,12:42:17,12:42:17
t#rA#weekday_offpeak#09:00:00#0#15,stp#shp1#0,0,12:45:00,12:45:00
t#rA#weekday_offpeak#09:00:00#0#15,stp#shp1#1,1,12:57:17,12:57:17
t#rA#weekday_offpeak#09:00:00#0#16,stp#shp1#0,0,13:00:00,13:00:00
t#rA#weekday_offpeak#09:00:00#0#16,stp#shp1#1,1,13:12:17,13:12:17
t#rA#weekday_offpeak#09:00:00#0#17,stp#shp1#0,0,13:15:00,13:15:00
t#rA#weekday_offpeak#09:00:00#0#17,stp#shp1#1,1,13:27:17,13:27:17
t#rA#weekday_offpeak#09:00:00#0#18,stp#shp1#0,0,13:30:00,13:30:00
t#rA#weekday_offpeak#09:00:00#0#18,stp#shp1#1,1,13:42:17,13:42:17
t#rA#weekday_offpeak#09:00:00#0#19,stp#shp1#0,0,13:45:00,13:45:00
t#rA#weekday_offpeak#09:00:00#0#19,stp#shp1#1,1,13:57:17,13:57:17
t#rA#weekday_offpeak#09:00:00#0#20,stp#shp1#0,0,14:00:00,14:00:00
t#rA#weekday_offpeak#09:00:00#0#20,stp#shp1#1,1,14:12:17,14:12:17
t#rA#weekday_offpeak#09:00:00#0#21,stp#shp1#0,0,14:15:00,14:15:00
t#rA#weekday_offpeak#09:00:00#0#21,stp#shp1#1,1,14:27:17,14:27:17
t#rA#weekday_offpeak#09:00:00#0#22,stp#shp1#0,0,14:30:00,14:30:00
t#rA#weekday_offpeak#09:00:00#0#22,stp#shp1#1,1,14:42:17,14:42:17
t#rA#weekday_offpeak#09:00:00#0#23,stp#shp1#0,0,14:45:00,14:45:00
t#rA#weekday_offpeak#09:00:00#0#23,stp#shp1#1,1,14:57:17,14:57:17
t#rB#weekday_peak_1#07:00:00#0#0,stp#shp2#0,0,07:00:00,07:00:00
t#rB#weekday_peak_1#07:00:00#0#0,stp#shp2#1,1,07:30:59,07:30:59
t#rB#weekday_peak_1#07:00:00#0#1,stp#shp2#0,0,07:10:00,07:10:00
t#rB#weekday_peak_1#07:00:00#0#1,stp#shp2#1,1,07:40:59,07:40:59
t#rB#weekday_peak_1#07:00:00#0#2,stp#shp2#0,0,07:20:00,07:20:00
t#rB#weekday_peak_1#07:00:00#0#2,stp#shp2#1,1,07:50:59,07:50:59
t#rB#weekday_peak_1#07:00:00#0#3,stp#shp2#0,0,07:30:00,07:30:00
t#rB#weekday_peak_1#07:00:00#0#3,stp#shp2#1,1,08:00:59,08:00:59
t#rB#weekday_peak_1#07:00:00#0#4,stp#shp2#0,0,07:40:00,07:40:00
t#rB#weekday_peak_1#07:00:00#0#4,stp#shp2#1,1,08:10:59,08:10:59
t#rB#weekday_peak_1#07:00:00#0#5,stp#shp2#0,0,07:50:00,07:50:00
t#rB#weekday_peak_1#07:00:00#0#5,stp#shp2#1,1,08:20:59,08:20:59
t#rB#weekday_peak_1#07:00:00#0#6,stp#shp2#0,0,08:00:00,08:00:00
t#rB#weekday_peak_1#07:00:00#0#6,stp#shp2#1,1,08:30:59,08:30:59
t#rB#weekday_peak_1#07:00:00#0#7,stp#shp2#0,0,08:10:00,08:10:00
t#rB#weekday_peak_1#07:00:00#0#7,stp#shp2#1,1,08:40:59,08:40:59
t#rB#weekday_peak_1#07:00:00#0#8,stp#shp2#0,0,08:20:00,08:20:00
t#rB#weekday_peak_1#07:00:00#0#8,stp#shp2#1,1,08:50:59,08:50:59
t#rB#weekday_peak_1#07:00:00#0#9,stp#shp2#0,0,08:30:00,08:30:00
t#rB#weekday_peak_1#07:00:00#0#9,stp#shp2#1,1,09:00:59,09:00:59
t#rB#weekday_peak_1#07:00:00#0#10,stp#shp2#0,0,08:40:00,08:40:00
t#rB#weekday_peak_1#07:00:00#0#10,stp#shp2#1,1,09:10:59,09:10:59
t#rB#weekday_peak_1#07:00:00#0#11,stp#shp2#0,0,08:50:00,08:50:00
t#rB#weekday_peak_1#07:00:00#0#11,stp#shp2#1,1,09:20:59,09:20:59
t#rB#weekday_peak_1#07:00:00#1#0,stp#shp2#1,0,07:00:00,07:00:00
t#rB#weekday_peak_1#07:00:00#1#0,stp#shp2#0,1,07:30:59,07:30:59
t#rB#weekday_peak_1#07:00:00#1#1,stp#shp2#1,0,07:10:00,07:10:00
t#rB#weekday_peak_1#07:00:00#1#1,stp#shp2#0,1,07:40:59,07:40:59
t#rB#weekday_peak_1#07:00:00#1#2,stp#shp2#1,0,07:20:00,07:20:00
t#rB#weekday_peak_1#07:00:00#1#2,stp#shp2#0,1,07:50:59,07:50:59
t#rB#weekday_peak_1#07:00:00#1#3,stp#shp2#1,0,07:30:00,07:30:00
t#rB#weekday_peak_1#07:00:00#1#3,stp#shp2#0,1,08:00:59,08:00:59
t#rB#weekday_peak_1#07:00:00#1#4,stp#shp2#1,0,07:40:00,07:40:00
t#rB#weekday_peak_1#07:00:00#1#4,stp#shp2#0,1,08:10:59,08:10:59
t#rB#weekday_peak_1#07:00:00#1#5,stp#shp2#1,0,07:50:00,07:50:00
t#rB#weekday_peak_1#07:00:00#1#5,stp#shp2#0,1,08:20:59,08:20:59
t#rB#weekday_peak_1#07:00:00#1#6,stp#shp2#1,0,08:00:00,08:00:00
t#rB#weekday_peak_1#07:00:00#1#6,stp#shp2#0,1,08:30:59,08:30:59
t#rB#weekday_peak_1#07:00:00#1#7,stp#shp2#1,0,08:10:00,08:10:00
t#rB#weekday_peak_1#07:00:00#1#7,stp#shp2#0,1,08:40:59,08:40:59
t#rB#weekday_peak_1#07:00:00#1#8,stp#shp2#1,0,08:20:00,08:20:00
t#rB#weekday_peak_1#07:00:00#1#8,stp#shp2#0,1,08:50:59,08:50:59
t#rB#weekday_peak_1#07:00:00#1#9,stp#shp2#1,0,08:30:00,08:30:00
t#rB#weekday_peak_1#07:00:00#1#9,stp#shp2#0,1,09:00:59,09:00:59
t#rB#weekday_peak_1#07:00:00#1#10,stp#shp2#1,0,08:40:00,08:40:00
t#rB#weekday_peak_1#07:00:00#1#10,stp#shp2#0,1,09:10:59,09:10:59
t#rB#weekday_peak_1#07:00:00#1#11,stp#shp2#1,0,08:50:00,08:50:00
t#rB#weekday_peak_1#07:00:00#1#11,stp#shp2#0,1,09:20:59,09:20:59
t#rB#weekday_peak_2#15:00:00#0#0,stp#shp2#0,0,15:00:00,15:00:00
t#rB#weekday_peak_2#15:00:00#0#0,stp#shp2#1,1,15:30:59,15:30:59
t#rB#weekday_peak_2#15:00:00#0#1,stp#shp2#0,0,15:15:00,15:15:00
t#rB#weekday_peak_2#15:00:00#0#1,stp#shp2#1,1,15:45:59,15:45:59
t#rB#weekday_peak_2#15:00:00#0#2,stp#shp2#0,0,15:30:00,15:30:00
t#rB#weekday_peak_2#15:00:00#0#2,stp#shp2#1,1,16:00:59,16:00:59
t#rB#weekday_peak_2#15:00:00#0#3,stp#shp2#0,0,15:45:00,15:45:00
t#rB#weekday_peak_2#15:00:00#0#3,stp#shp2#1,1,16:15:59,16:15:59
t#rB#weekday_peak_2#15:00:00#0#4,stp#shp2#0,0,16:00:00,16:00:00
t#rB#weekday_peak_2#15:00:00#0#4,stp#shp2#1,1,16:30:59,16:30:59
t#rB#weekday_peak_2#15:00:00#0#5,stp#shp2#0,0,16:15:00,16:15:00
t#rB#weekday_peak_2#15:00:00#0#5,stp#shp2#1,1,16:45:59,16:45:59
t#rB#weekday_peak_2#15:00:00#0#6,stp#shp2#0,0,16:30:00,16:30:00
t#rB#weekday_peak_2#15:00:00#0#6,stp#shp2#1,1,17:00:59,17:00:59
t#rB#weekday_peak_2#15:00:00#0#7,stp#shp2#0,0,16:45:00,16:45:00
t#rB#weekday_peak_2#15:00:00#0#7,stp#shp2#1,1,17:15:59,17:15:59
t#rB#weekday_peak_2#15:00:00#1#0,stp#shp2#1,0,15:00:00,15:00:00
t#rB#weekday_peak_2#15:00:00#1#0,stp#shp2#0,1,15:30:59,15:30:59
t#rB#weekday_peak_2#15:00:00#1#1,stp#shp2#1,0,15:15:00,15:15:00
t#rB#weekday_peak_2#15:00:00#1#1,stp#shp2#0,1,15:45:59,15:45:59
t#rB#weekday_peak_2#15:00:00#1#2,stp#shp2#1,0,15:30:00,15:30:00
t#rB#weekday_peak_2#15:00:00#1#2,stp#shp2#0,1,16:00:59,16:00:59
t#rB#weekday_peak_2#15:00:00#1#3,stp#shp2#1,0,15:45:00,15:45:00
t#rB#weekday_peak_2#15:00:00#1#3,stp#shp2#0,1,16:15:59,16:15:59
t#rB#weekday_peak_2#15:00:00#1#4,stp#shp2#1,0,16:00:00,16:00:00
t#rB#weekday_peak_2#15:00:00#1#4,stp#shp2#0,1,16:30:59,16:30:59
t#rB#weekday_peak_2#15:00:00#1#5,stp#shp2#1,0,16:15:00,16:15:00
t#rB#weekday_peak_2#15:00:00#1#5,stp#shp2#0,1,16:45:59,16:45:59
t#rB#weekday_peak_2#15:00:00#1#6,stp#shp2#1,0,16:30:00,16:30:00
t#rB#weekday_peak_2#15:00:00#1#6,stp#shp2#0,1,17:00:59,17:00:59
t#rB#weekday_peak_2#15:00:00#1#7,stp#shp2#1,0,16:45:00,16:45:00
t#rB#weekday_peak_2#15:00:00#1#7,stp#shp2#0,1,17:15:59,17:15:59
t#rB#weekday_offpeak#09:00:00#1#0,stp#shp2#1,0,09:00:00,09:00:00
t#rB#weekday_offpeak#09:00:00#1#0,stp#shp2#0,1,09:30:59,09:30:59
t#rB#weekday_offpeak#09:00:00#1#1,stp#shp2#1,0,09:30:00,09:30:00
t#rB#weekday_offpeak#09:00:00#1#1,stp#shp2#0,1,10:00:59,10:00:59
t#rB#weekday_offpeak#09:00:00#1#2,stp#shp2#1,0,10:00:00,10:00:00
t#rB#weekday_offpeak#09:00:00#1#2,stp#shp2#0,1,10:30:59,10:30:59
t#rB#weekday_offpeak#09:00:00#1#3,stp#shp2#1,0,10:30:00,10:30:00
t#rB#weekday_offpeak#09:00:00#1#3,stp#shp2#0,1,11:00:59,11:00:59
t#rB#weekday_offpeak#09:00:00#1#4,stp#shp2#1,0,11:00:00,11:00:00
t#rB#weekday_offpeak#09:00:00#1#4,stp#shp2#0,1,11:30:59,11:30:59
t#rB#weekday_offpeak#09:00:00#1#5,stp#shp2#1,0,11:30:00,11:30:00
t#rB#weekday_offpeak#09:00:00#1#5,stp#shp2#0,1,12:00:59,12:00:59
t#rB#weekday_offpeak#09:00:00#1#6,stp#shp2#1,0,12:00:00,12:00:00
t#rB#weekday_offpeak#09:00:00#1#6,stp#shp2#0,1,12:30:59,12:30:59
t#rB#weekday_offpeak#09:00:00#1#7,stp#shp2#1,0,12:30:00,12:30:00
t#rB#weekday_offpeak#09:00:00#1#7,stp#shp2#0,1,13:00:59,13:00:59
t#rB#weekday_offpeak#09:00:00#1#8,stp#shp2#1,0,13:00:00,13:00:00
t#rB#weekday_offpeak#09:00:00#1#8,stp#shp2#0,1,13:30:59,13:30:59
t#rB#weekday_offpeak#09:00:00#1#9,stp#shp2#1,0,13:30:00,13:30:00
t#rB#weekday_offpeak#09:00:00#1#9,stp#shp2#0,1,14:00:59,14:00:59
t#rB#weekday_offpeak#09:00:00#1#10,stp#shp2#1,0,14:00:00,14:00:00
t#rB#weekday_offpeak#09:00:00#1#10,stp#shp2#0,1,14:30:59,14:30:59
t#rB#weekday_offpeak#09:00:00#1#11,stp#shp2#1,0,14:30:00,14:30:00
t#rB#weekday_offpeak#09:00:00#1#11,stp#shp2#0,1,15:00:59,15:00:59
t#rB#saturday#09:00:00#0#0,stp#shp2#0,0,09:00:00,09:00:00
t#rB#saturday#09:00:00#0#0,stp#shp2#1,1,09:30:59,09:30:59
t#rB#saturday#09:00:00#0#1,stp#shp2#0,0,09:30:00,09:30:00
t#rB#saturday#09:00:00#0#1,stp#shp2#1,1,10:00:59,10:00:59
t#rB#saturday#09:00:00#0#2,stp#shp2#0,0,10:00:00,10:00:00
t#rB#saturday#09:00:00#0#2,stp#shp2#1,1,10:30:59,10:30:59
t#rB#saturday#09:00:00#0#3,stp#shp2#0,0,10:30:00,10:30:00
t#rB#saturday#09:00:00#0#3,stp#shp2#1,1,11:00:59,11:00:59
t#rB#saturday#09:00:00#0#4,stp#shp2#0,0,11:00:00,11:00:00
t#rB#saturday#09:00:00#0#4,stp#shp2#1,1,11:30:59,11:30:59
t#rB#saturday#09:00:00#0#5,stp#shp2#0,0,11:30:00,11:30:00
t#rB#saturday#09:00:00#0#5,stp#shp2#1,1,12:00:59,12:00:59
t#rB#saturday#09:00:00#0#6,stp#shp2#0,0,12:00:00,12:00:00
t#rB#saturday#09:00:00#0#6,stp#shp2#1,1,12:30:59,12:30:59
t#rB#saturday#09:00:00#0#7,stp#shp2#0,0,12:30:00,12:30:00
t#rB#saturday#09:00:00#0#7,stp#shp2#1,1,13:00:59,13:00:59
t#rB#saturday#09:00:00#0#8,stp#shp2#0,0,13:00:00,13:00:00
t#rB#saturday#09:00:00#0#8,stp#shp2#1,1,13:30:59,13:30:59
t#rB#saturday#09:00:00#0#9,stp#shp2#0,0,13:30:00,13:30:00
t#rB#saturday#09:00:00#0#9,stp#shp2#1,1,14:00:59,14:00:59
t#rB#saturday#09:00:00#0#10,stp#shp2#0,0,14:00:00,14:00:00
t#rB#saturday#09:00:00#0#10,stp#shp2#1,1,14:30:59,14:30:59
t#rB#saturday#09:00:00#0#11,stp#shp2#0,0,14:30:00,14:30:00
t#rB#saturday#09:00:00#0#11,stp#shp2#1,1,15:00:59,15:00:59
t#rB#saturday#09:00:00#0#12,stp#shp2#0,0,15:00:00,15:00:00
t#rB#saturday#09:00:00#0#12,stp#shp2#1,1,15:30:59,15:30:59
t#rB#saturday#09:00:00#0#13,stp#shp2#0,0,15:30:00,15:30:00
t#rB#saturday#09:00:00#0#13,stp#shp2#1,1,16:00:59,16:00:59
t#rB#saturday#09:00:00#0#14,stp#shp2#0,0,16:00:00,16:00:00
t#rB#saturday#09:00:00#0#14,stp#shp2#1,1,16:30:59,16:30:59
t#rB#saturday#09:00:00#0#15,stp#shp2#0,0,16:30:00,16:30:00
t#rB#saturday#09:00:00#0#15,stp#shp2#1,1,17:00:59,17:00:59
t#rB#saturday#09:00:00#0#16,stp#shp2#0,0,17:00:00,17:00:00
t#rB#saturday#09:00:00#0#16,stp#shp2#1,1,17:30:59,17:30:59
t#rB#saturday#09:00:00#0#17,stp#shp2#0,0,17:30:00,17:30:00
t#rB#saturday#09:00:00#0#17,stp#shp2#1,1,18:00:59,18:00:59
t#rB#saturday#09:00:00#0#18,stp#shp2#0,0,18:00:00,18:00:00
t#rB#saturday#09:00:00#0#18,stp#shp2#1,1,18:30:59,18:30:59
t#rB#saturday#09:00:00#0#19,stp#shp2#0,0,18:30:00,18:30:00
t#rB#saturday#09:00:00#0#19,stp#shp2#1,1,19:00:59,19:00:59
